File,Distance_m,PL_omni_dB,MeanDirDS_ns,OmniDS_ns,MeanLobeASA_d,OmniASA_d,MeanLobeASD_d,OmniASD_d,MeanLobeZSA_d,OmniZSA_d,MeanLobeZSD_d,OmniZSD_d
R02_199.4m NLOS_Microcellular.mat,199.39,114.8109473,15.57593204,67.67526226,73.27346508,81.40239048,40.57865521,40.57865521,10.07306846,10.07306846,10.17696455,10.17696455
R03_201m NLOS_Microcellular.mat,201,105.8446416,44.05796014,97.69650198,101.1596587,101.1596587,36.90529086,36.90529086,10.30991115,10.30991115,10.05475723,10.05475723
R07_443m NLOS_Microcellular.mat,443,125.8632978,49.1690191,121.6560492,121.1124641,121.1124641,38.4386413,38.4386413,10.5327628,10.5327628,10.03980585,10.03980585
R08_500m NLOS_Microcellular.mat,500,124.8088466,29.5476198,89.6687091,46.80891076,55.4127427,11.5271573,17.52418699,8.260388078,8.260388078,8.351198278,8.351198278
