Location,Env,Distance_m,PL_NYU_dB,PL_USC_dB,Delta_PL_dB,DS_NYU_ns,DS_USC_ns,Delta_DS_ns,ASA_NYU_10dB,ASA_NYU_15dB,ASA_NYU_20dB,ASA_USC,ASD_NYU_10dB,ASD_NYU_15dB,ASD_NYU_20dB,ASD_USC
R01,LOS,64.5,102.872520507286,109.632175676877,-6.75965516959099,64.5656508006247,97.6688706581928,-33.1032198575681,27.7928947531893,24.6251941785988,31.3476615693011,30.1709904967666,11.3875623061907,11.8108807676356,12.7938297865869,12.2194814087775
R02,LOS,82.5,106.053582246151,112.697799879391,-6.64421763323972,62.9507659563143,115.693385715764,-52.7426197594499,8.43202590683838,11.6127531260182,18.7502170819159,17.6970026004866,11.0338124619228,12.7738424532285,12.3399639568169,12.2977602108834
R03,LOS,32.1,97.7281919215961,103.748707813672,-6.02051589207635,25.2884637333667,43.5020336292273,-18.2135698958606,10.7388647231557,10.1011401428817,9.54017970646684,10.4129180713843,8.87833737584139,10.3368943892003,10.163333426509,9.91118035070981
R04,LOS,40.8,100.160455560459,107.087491682905,-6.92703612244625,40.2585349128499,67.6279365301798,-27.3694016173299,8.41319492468163,10.3156406882425,10.1273576899219,13.9050264993173,10.7947142751649,11.44249932557,11.705652905106,11.337823620582
R05,LOS,49.8,101.593939779403,107.798009479587,-6.20406970018394,39.2364046644038,68.9571998569713,-29.7207951925675,8.45626963539974,10.2110676512804,11.7393071913587,11.981701380288,8.58174623171886,10.4299899286461,11.6658652696736,10.8428953280076
R06,LOS,72.3,103.875700549426,110.065133846416,-6.18943329698938,80.5826874844163,106.588379248777,-26.0056917643607,15.862994278836,32.776248170464,28.8482395383796,28.9657939579341,8.73471044606231,15.9585615825865,15.1772432691585,14.2584319394287
R07,LOS,20.4,92.0941820546162,99.4692154433389,-7.37503338872266,14.440415198543,27.3143253170284,-12.8739101184854,10.7759865251562,10.5181092719407,10.7253303978171,13.2123877569236,11.2264806584438,10.7115081364596,10.8625347225798,10.0983015801329
R08,LOS,33.9,97.9303819753704,104.482479387016,-6.55209741164607,23.836656570193,46.1142468042527,-22.2775902340596,8.53544479835395,10.2606288192182,10.2975890458153,10.4452600502533,8.63310122930914,10.5726431268087,10.3321448077656,9.2543959486817
R09,LOS,45.9,100.505809456214,107.030239395867,-6.52442993965249,29.6408666888997,60.2086879574668,-30.5678212685671,10.7875385080338,10.1102275141967,9.55177055992669,10.7644352647559,8.8210384754055,10.3409061790419,10.2278158605575,9.22038629496013
R10,LOS,54.3,101.530505407186,107.87089241118,-6.34038700399388,39.9693468127647,69.4472876866637,-29.477940873899,10.6265186518964,18.4738158170562,22.3429294751521,22.2217231320742,8.87699071493145,15.641455405983,14.3160429833045,13.2815170854635
R11,LOS,36.3,101.138309875316,107.520723009289,-6.38241313397343,30.5743728287433,62.5015327567193,-31.9271599279759,8.40225014067796,10.1938337520609,10.2690509306569,11.5128678085842,8.77605046225965,10.4255126448829,10.2377030106376,9.56545576385329
R12,LOS,57.9,103.011030657534,108.640827210074,-5.62979655253973,37.4865623806075,70.7677184874407,-33.2811561068332,10.7512503471746,10.3528985901692,11.2709496386168,11.5560670583124,9.05710021330346,10.5485521007177,10.2584947977181,9.32966637047759
