TX_RX_ID,Environment,Distance_m,TX_Power_dBm,NYUthr_PL_SUM_dB,NYUthr_PL_pDM_dB,NYUthr_DS_SUM_ns,NYUthr_DS_pDM_ns,NYUthr_ASA_N10,NYUthr_ASA_N15,NYUthr_ASA_N20,NYUthr_ASA_U,NYUthr_ASD_N10,NYUthr_ASD_N15,NYUthr_ASD_N20,NYUthr_ASD_U,USCthr_PL_SUM_dB,USCthr_PL_pDM_dB,USCthr_DS_SUM_ns,USCthr_DS_pDM_ns,USCthr_ASA_N10,USCthr_ASA_N15,USCthr_ASA_N20,USCthr_ASA_U,USCthr_ASD_N10,USCthr_ASD_N15,USCthr_ASD_N20,USCthr_ASD_U
TX1-RX1,LOS,40.08,15.86,74.6102914410982,77.9119042532979,37.9636324483865,47.450759408564,28.9275958124874,25.8354105825404,24.8217999478391,24.9648692524211,22.518706734084,27.7639846752151,29.4646870306632,27.933890815661,77.2813056857526,78.7041912791239,13.2078891681344,11.8920580771561,14.3595156691481,18.8580891870642,16.8737180762818,14.7728467271321,10.9710868269933,20.0389180805036,17.5090847697036,15.4038329076643
TX1-RX2,NLOS,100.03,15.68,82.8448194167065,88.3062773403939,64.2771593240622,92.2395066432461,21.0628701128764,18.7279421619005,27.4256984430398,25.1957692618996,18.9726239390996,17.1053168031162,28.0342657403511,24.8082484736645,84.3891777836459,89.1604477082275,0.916066966123717,1.20700445880731,16.5182499116691,16.9143501077892,14.902409973598,14.1616340228455,10.9710868269933,10.9772311450466,10.4143957846316,8.10130150099346
TX1-RX3,LOS,193,15.63,86.8912176290287,89.4488839521754,108.774656565477,122.912143028984,10.9710868269932,14.9640617788957,12.9017164789013,12.3428549886048,57.6824336904793,44.4375170567018,38.7793481344273,38.5135478125113,90.0284453250994,90.5145090601322,1.1621285447475,1.06104533147936,10.9710868269932,7.72100771139865,10.8895237409706,1.20741826972573e-06,10.9710868269933,7.72100771139861,10.1965328418202,4.98687921345544
TX1-RX4,NLOS,560.01,15.63,110.03260934919,114.543467202686,67.3656397493606,106.893362287944,17.9732776851851,17.2849312735072,15.492264695906,16.1967925717397,20.3967895963266,35.0626909241556,28.6395927252892,25.0924486652575,117.272748396836,117.272748396836,0.418637357581047,0.418637357581047,10.9710868269933,7.72100771139861,10.8895237409705,1.20741826972573e-06,10.9710868269933,7.72100771139861,10.8895237409705,1.20741826972573e-06
TX1-RX5,NLOS,880,15.63,124.74424720462,125.160554959132,0.863356204036999,0.837923083754818,10.9710868269933,7.72100771139865,9.88409864733989,4.44540154958249,10.9710868269933,7.72100771139865,10.8895237409706,1.20741826972573e-06,126.932554252611,126.932554252611,0.402709015067228,0.402709015067228,10.9710868269932,7.72100771139865,10.8895237409705,1.20741826972573e-06,10.9710868269932,7.72100771139865,10.8895237409705,1.20741826972573e-06
TX1-RX7,LOS,424,15.68,100.240934796103,103.1986072126,190.865196642118,197.957633506643,16.7262231683634,15.0947869997315,13.5260497860042,15.6767635229169,82.5199717194105,81.5683485874392,80.4834739617188,79.5132899609799,107.148040341002,107.148040341002,0.394799383917038,0.394799383917038,10.9710868269933,7.72100771139861,10.8895237409705,1.20741826972573e-06,10.9710868269933,7.72100771139861,10.8895237409705,1.20741826972573e-06
TX2-RX1,LOS,58.05,15.75,80.7281379780203,86.1062810258057,22.70905167223,28.8587679483462,62.1587535443142,59.9460228975762,59.2935593044667,58.7123835203127,24.1561705092364,23.6830446445356,26.5031184320474,25.4540333934807,84.3577169204294,87.0226020074192,5.40703927751472,5.98907444083766,18.189325802147,48.5008504989742,45.6597009559221,43.2217460211406,19.846136305383,18.0391311665785,16.1668441516941,14.7208704045825
TX2-RX2,NLOS,51.56,15.75,88.8996581528632,94.0912112765987,96.761334626855,141.240688442038,66.5355572964459,62.1274461833386,61.0173818126013,60.3032787771984,22.3758154676527,41.0566742745589,40.6378946085908,37.7999669891194,95.6126375996358,98.5682419627578,3.36427680526639,4.57632151107633,25.0964422079874,41.1788543733812,36.2569133120058,32.7495389112102,10.9710868269933,7.7210077113987,10.8895237409705,1.20741826972573e-06
TX2-RX3,NLOS,100.91,15.75,101.21524952642,102.880593335847,108.520745430185,91.3941499274502,20.6861605309003,21.8860831351407,25.5772432733515,21.8817845887985,97.7438033824097,96.4730490094654,97.8105156280428,96.0951327794661,104.216311062985,104.277371285298,11.0178211125209,11.0866453509995,10.9710868269933,7.72100771139856,12.038277143902,3.48304656337973,10.9710868269933,7.72100771139861,22.989719842366,13.1585216981267
TX3-RX1,NLOS,71.04,15.85,100.934906384691,104.768509835605,183.895738251183,188.562209905673,40.8441639322497,38.5055996775584,38.7089846750115,38.4194891274382,33.4457383873944,40.4987476551379,40.6567884735301,38.6231830339363,113.046914724588,113.046914724588,0.514183991965711,0.514183991965711,10.9710868269933,7.72100771139865,10.8895237409706,8.53773646251594e-07,10.9710868269933,7.72100771139861,10.8895237409705,1.20741826972573e-06
