Band,Dataset,LocType,Metric,Paper,Python,MATLAB,PyStatus,MLStatus
Sub-THz (142/145.5),Pooled,NLOS,ASD_CFI_width_d,11.0200,10.2881,10.0890,TIGHT,TIGHT
6.75 GHz,NYU only,LOS,PLE,1.7900,1.8101,1.8101,TIGHT,TIGHT
6.75 GHz,NYU only,LOS,sigma_SF_dB,2.5600,2.6128,2.6128,CLOSE,CLOSE
6.75 GHz,NYU only,LOS,PLE_CFI_width,0.1900,0.2105,0.2090,TIGHT,TIGHT
6.75 GHz,NYU only,LOS,DS_mean_ns,67.5500,63.7562,63.7562,CLOSE,CLOSE
6.75 GHz,NYU only,LOS,DS_CFI_width_ns,97.9700,106.8462,108.1907,TIGHT,TIGHT
6.75 GHz,NYU only,LOS,ASA_mean_d,25.9700,25.2030,25.2030,CLOSE,CLOSE
6.75 GHz,NYU only,LOS,ASA_CFI_width_d,25.9500,27.1352,26.9333,TIGHT,TIGHT
6.75 GHz,NYU only,LOS,ASD_mean_d,37.9800,36.6988,36.6988,CLOSE,CLOSE
6.75 GHz,NYU only,LOS,ASD_CFI_width_d,40.7100,39.4617,39.5008,TIGHT,TIGHT
6.75 GHz,NYU only,NLOS,PLE,2.5600,2.5018,2.5018,CLOSE,CLOSE
6.75 GHz,NYU only,NLOS,sigma_SF_dB,6.5100,7.9057,7.9057,CLOSE,CLOSE
6.75 GHz,NYU only,NLOS,PLE_CFI_width,0.4200,0.4352,0.4202,TIGHT,TIGHT
6.75 GHz,NYU only,NLOS,DS_mean_ns,129.7900,112.6883,112.6883,CLOSE,CLOSE
6.75 GHz,NYU only,NLOS,DS_CFI_width_ns,127.0300,131.6591,127.0333,TIGHT,TIGHT
6.75 GHz,NYU only,NLOS,ASA_mean_d,32.0200,31.6086,31.6086,TIGHT,TIGHT
6.75 GHz,NYU only,NLOS,ASA_CFI_width_d,20.4000,20.6190,20.4012,TIGHT,TIGHT
6.75 GHz,NYU only,NLOS,ASD_mean_d,40.7600,40.0407,40.0407,TIGHT,TIGHT
6.75 GHz,NYU only,NLOS,ASD_CFI_width_d,30.8800,31.1778,31.4999,TIGHT,TIGHT
6.75 GHz,USC only,LOS,PLE,1.9200,1.9154,1.9154,TIGHT,TIGHT
6.75 GHz,USC only,LOS,sigma_SF_dB,1.4200,1.4244,1.4244,TIGHT,TIGHT
6.75 GHz,USC only,LOS,PLE_CFI_width,0.1200,0.1179,0.1145,TIGHT,TIGHT
6.75 GHz,USC only,LOS,DS_mean_ns,14.6300,13.0942,13.0942,CLOSE,CLOSE
6.75 GHz,USC only,LOS,DS_CFI_width_ns,21.0600,19.1173,19.1383,TIGHT,TIGHT
6.75 GHz,USC only,LOS,ASA_mean_d,10.4800,10.2642,10.2642,CLOSE,CLOSE
6.75 GHz,USC only,LOS,ASA_CFI_width_d,6.3300,12.8980,12.6655,TIGHT,TIGHT
6.75 GHz,USC only,LOS,ASD_mean_d,5.8700,5.8630,5.8630,TIGHT,TIGHT
6.75 GHz,USC only,LOS,ASD_CFI_width_d,0.7900,1.6114,1.5831,TIGHT,TIGHT
6.75 GHz,USC only,NLOS,PLE,2.6200,2.6157,2.6157,TIGHT,TIGHT
6.75 GHz,USC only,NLOS,sigma_SF_dB,7.3300,7.3326,7.3326,TIGHT,TIGHT
6.75 GHz,USC only,NLOS,PLE_CFI_width,0.3700,0.3654,0.3842,TIGHT,TIGHT
6.75 GHz,USC only,NLOS,DS_mean_ns,29.0000,27.5798,27.5798,CLOSE,CLOSE
6.75 GHz,USC only,NLOS,DS_CFI_width_ns,55.3200,51.6514,53.3026,TIGHT,TIGHT
6.75 GHz,USC only,NLOS,ASA_mean_d,12.6000,12.3597,12.3597,TIGHT,TIGHT
6.75 GHz,USC only,NLOS,ASA_CFI_width_d,4.5500,9.0795,9.0987,TIGHT,TIGHT
6.75 GHz,USC only,NLOS,ASD_mean_d,12.2300,12.1684,12.1684,TIGHT,TIGHT
6.75 GHz,USC only,NLOS,ASD_CFI_width_d,2.8300,5.5362,5.6514,TIGHT,TIGHT
6.75 GHz,Pooled,LOS,PLE,1.8500,1.8622,1.8622,TIGHT,TIGHT
6.75 GHz,Pooled,LOS,sigma_SF_dB,2.4400,2.3610,2.3610,CLOSE,CLOSE
6.75 GHz,Pooled,LOS,PLE_CFI_width,0.1300,0.1326,0.1284,TIGHT,TIGHT
6.75 GHz,Pooled,LOS,DS_mean_ns,49.9000,42.8178,42.8178,CLOSE,CLOSE
6.75 GHz,Pooled,LOS,DS_CFI_width_ns,87.4500,76.3693,79.5825,TIGHT,TIGHT
6.75 GHz,Pooled,LOS,ASA_mean_d,18.1000,18.0416,18.0416,TIGHT,TIGHT
6.75 GHz,Pooled,LOS,ASA_CFI_width_d,8.8500,18.2727,17.6942,TIGHT,TIGHT
6.75 GHz,Pooled,LOS,ASD_mean_d,21.5700,20.8440,20.8440,CLOSE,CLOSE
6.75 GHz,Pooled,LOS,ASD_CFI_width_d,14.7400,28.3416,29.4744,TIGHT,TIGHT
6.75 GHz,Pooled,NLOS,PLE,2.5900,2.5584,2.5584,TIGHT,TIGHT
6.75 GHz,Pooled,NLOS,sigma_SF_dB,6.9600,7.7396,7.7396,CLOSE,CLOSE
6.75 GHz,Pooled,NLOS,PLE_CFI_width,0.2600,0.2834,0.2864,TIGHT,TIGHT
6.75 GHz,Pooled,NLOS,DS_mean_ns,68.4000,66.4307,66.4307,CLOSE,CLOSE
6.75 GHz,Pooled,NLOS,DS_CFI_width_ns,70.1900,66.3845,66.6406,TIGHT,TIGHT
6.75 GHz,Pooled,NLOS,ASA_mean_d,22.5300,22.3872,22.3872,TIGHT,TIGHT
6.75 GHz,Pooled,NLOS,ASA_CFI_width_d,7.1000,14.0114,14.2067,TIGHT,TIGHT
6.75 GHz,Pooled,NLOS,ASD_mean_d,26.8700,26.0271,26.0271,CLOSE,CLOSE
6.75 GHz,Pooled,NLOS,ASD_CFI_width_d,10.3800,20.4988,20.7502,TIGHT,TIGHT
