tx,rx,loc_type,d_m,pl_db__U3_nyu_thr,omni_ds_ns__U3_nyu_thr,omni_asa_d__U3_nyu_thr,omni_asd_d__U3_nyu_thr,pl_db__U3_usc_thr,omni_ds_ns__U3_usc_thr,omni_asa_d__U3_usc_thr,omni_asd_d__U3_usc_thr,pl_db__U1,omni_ds_ns__U1,omni_asa_d__U1,omni_asd_d__U1
TX1,RX1,LOS,64.500,107.171,26.150,27.790,11.390,106.773,52.382,30.170,12.220,109.632,59.475,30.170,12.220
TX1,RX2,LOS,82.500,110.466,24.867,8.430,11.030,109.954,32.542,17.700,12.300,112.698,37.562,17.700,12.300
TX1,RX3,LOS,32.100,101.797,5.596,10.740,8.880,101.628,14.952,10.410,9.900,103.749,15.563,10.410,9.910
TX1,RX4,LOS,40.800,104.488,9.383,8.410,10.800,104.060,30.007,13.910,11.340,107.088,32.587,13.910,11.340
TX1,RX5,LOS,49.800,105.883,8.063,8.460,8.580,105.494,23.180,11.980,10.840,107.798,25.285,11.980,10.840
TX1,RX6,LOS,72.300,108.334,16.458,15.860,8.730,107.776,68.205,28.970,14.260,110.065,71.335,28.970,14.260
TX1,RX7,LOS,20.400,96.321,1.592,10.780,11.230,95.993,3.969,13.210,10.100,99.469,11.178,13.210,10.100
TX1,RX8,LOS,33.900,102.235,2.336,8.540,8.630,101.830,11.408,10.450,9.250,104.483,13.359,10.450,9.250
TX1,RX9,LOS,45.900,104.592,3.252,10.790,8.820,104.406,9.417,10.760,9.220,107.030,11.947,10.760,9.220
TX1,RX10,LOS,54.300,105.987,3.467,10.630,8.880,105.430,24.506,22.220,13.280,107.871,26.574,22.220,13.280
TX1,RX11,LOS,36.300,105.445,3.287,8.400,8.780,105.038,5.561,11.510,9.570,107.521,6.104,11.510,9.570
TX1,RX12,LOS,57.900,107.179,7.649,10.750,9.060,106.911,3.377,11.560,9.330,108.641,3.504,11.560,9.330
TX1,RX13,LOS,65.700,105.939,3.544,12.630,12.800,105.820,2.685,12.130,10.980,109.570,3.942,12.130,10.980
