Location,Env,Distance_m,PL_NYU_dB,PL_USC_dB,Delta_PL_dB,DS_NYU_ns,DS_USC_ns,Delta_DS_ns,ASA_NYU_10dB,ASA_NYU_15dB,ASA_NYU_20dB,ASA_USC,ASD_NYU_10dB,ASD_NYU_15dB,ASD_NYU_20dB,ASD_USC,PG_omni_USC_dB,NoiseThresh_dB
LOS_RX1_07-12-2024,LOS,184.8,89.3516890743679,93.0659638162364,-3.71427474186851,0.674887678284814,0.661947251880324,0.0129404264044898,9.24992971997648,7.99637507513321,6.80770330981102,5.51897734253527,8.91892017338372,7.88882174162973,6.52505007323523,5.16260682018526,-93.0659618627031,-116.318642727296
LOS_RX2_07-12-2024,LOS,161.7,85.8843590949315,88.523251679823,-2.63889258489149,18.2618353449429,24.0724970369116,-5.81066169196875,9.37360406818178,34.877634246936,30.0772597572359,27.1486465969153,9.23385285856848,7.93958644905565,6.70344974038738,5.34753439906369,-88.5232509934667,-114.572025639308
LOS_RX3_07-12-2024,LOS,132.6,88.4110721855197,91.6106373267015,-3.19956514118184,0.698857399557111,0.770103581987018,-0.0712461824299074,9.8113522951376,8.15595850002349,6.4739770879455,3.87687954693113,9.61189057557123,7.55556663457424,6.13842733669007,4.72893594545569,-91.6106359294062,-115.258452211633
LOS_RX4_07-12-2024,LOS,83.4,82.2566321829135,86.4143789080969,-4.15774672518337,0.65839791838993,0.733839796646125,-0.0754418782561947,9.11423578134605,8.67810744102036,7.07013572905796,5.11844971320782,9.83024793655501,8.37214474052627,7.0413622966674,5.79497322300793,-86.4143784857567,-111.566824090089
LOS_RX5_07-12-2024,LOS,63.6,77.1755683915906,83.6117255147674,-6.43615712317684,7.2517134929032,10.818712627097,-3.5669991341938,11.586221909803,12.5868777364222,10.8371263230604,9.3156515595606,9.40455016764251,8.79149152585442,8.90283631254771,7.95180746325572,-83.6117252932555,-107.76597069283
LOS_RX6_07-12-2024,LOS,59.4,79.3209284345062,82.1077265717333,-2.78679813722709,18.4194056357781,24.3650170848175,-5.94561144903935,15.9956617950569,14.4908102190773,13.2447073570481,11.9238448850122,9.5901350406652,7.85727198522883,7.23469709859297,6.21349739461272,-82.1077264150592,-108.473177156774
NLOS_65m,NLOS,65.1,72.5180412388417,81.7814887095543,-9.26344747071262,0.596839033001921,0.629782427177401,-0.0329433941754801,13.0530159583578,11.9721190901403,11.331537571124,10.8208700327116,13.3363389867806,12.7884038490445,12.7531188684364,12.3592646645135,-81.7814885642182,-105.561907237877
NLOS_62m,NLOS,62.1,83.9054983280763,92.804546211439,-8.89904788336267,1.42288785383572,2.46190425355319,-1.03901639971748,12.3655889164637,11.7082126637831,11.1324711781272,10.7837571357322,28.0074522987787,26.3729538517751,25.5379358234601,25.0109754951736,-92.8045443720268,-117.043218041765
NLOS_104m,NLOS,103.5,89.9347515223095,100.464295303693,-10.5295437813839,3.37330088998898,6.49325869219152,-3.11995780220254,15.8623568700234,14.9896354672266,14.4220074233741,13.9340431610562,16.9113419580416,16.5737141704005,16.0688803194119,15.6712829034707,-100.464284572364,-126.053625402417
NLOS_139m,NLOS,139.1,91.2366437938466,100.430340742643,-9.19369694879663,1.05430684130001,1.43514571922395,-0.38083887792394,13.0145441272711,11.86637142082,10.9795407090864,10.2624587912102,12.4875660785561,11.9685897997585,11.3272070524834,10.814463633826,-100.430330094888,-125.846408253826
NLOS_144m,NLOS,143.6,102.547171856607,110.917576606196,-8.37040474958825,139.634529301056,142.096761661817,-2.46223236076079,36.458834652968,36.8210681496145,35.9430524831329,35.387191002471,14.6648525835328,14.7383190915555,14.3563732243358,13.9435183266706,-110.917457488511,-138.277055497667
NLOS_163m,NLOS,162.8,99.4077243328073,107.781802370025,-8.37407803721797,1.45843821295944,2.42368495837598,-0.965246745416544,12.4926398431503,11.7057743534281,11.052597072799,11.3761770860847,11.6588389827547,11.0117615225523,10.346151685172,10.2198721569364,-107.781744506901,-131.987820579729
NLOS_201m,NLOS,201.4,111.58945793909,119.767634429259,-8.17817649016919,32.8006728070558,37.6126560193419,-4.81198321228607,16.9384849010882,16.1015140532132,20.071111524421,17.673126360622,16.1318099193116,15.1242071327968,14.551097741359,14.0992905457278,-119.766720437501,-152.856970894839
NLOS_215m,NLOS,214.9,99.7109705446058,106.818229023643,-7.10725847903704,6.51469725592464,10.5232896681976,-4.00859241227294,10.8313837999564,9.29730694118531,8.3532057957236,7.52221487549122,9.35510659830296,8.99339668464145,8.06801166523427,7.19773017344427,-106.818182674136,-131.101019755682
NLOS_336m,NLOS,336.3,107.721206181889,115.762885187109,-8.04167900522005,0.940882239927855,1.09693191713398,-0.156049677206127,11.4699402313184,10.1792021033979,9.26372141914444,8.54477605193585,11.374500651949,10.124435093431,9.40164765535815,8.7919126393498,-115.762521695089,-139.884934557146
NLOS_405m,NLOS,404.9,121.420199910158,127.455750868669,-6.0355509585104,1.93821020019907,2.2121044735919,-0.273894273392838,10.2964843958006,8.7566733129445,7.39534306122761,5.95216348652261,10.6651448532001,9.73923154495208,8.76082793474911,7.87454969058056,-127.450386342481,-152.241685517141
NLOS_436m,NLOS,436.1,122.317691484141,128.503895528602,-6.18620404446118,2.66815750547315,2.84144508627579,-0.173287580802644,10.3573656740166,8.80451195075137,7.45720876298556,6.36788355558736,11.3327719355512,10.0799109581711,9.22996751022842,8.50451516134802,-128.497067856417,-152.811858422686
