Location,Env,Distance_m,PL_NYU_dB,PL_USC_dB,Delta_PL_dB,DS_NYU_ns,DS_USC_ns,Delta_DS_ns,ASA_NYU_10dB,ASA_NYU_15dB,ASA_NYU_20dB,ASA_USC,ASD_NYU_10dB,ASD_NYU_15dB,ASD_NYU_20dB,ASD_USC
R01,LOS,64.5,102.853436673495,109.628869224577,-6.77543255108213,52.6485975940146,58.0627948305749,-5.41419723656033,26.9023583773237,24.7889961597629,31.3431990432436,30.4020676017533,9.79741405228564,10.8858552706077,12.4327114527174,12.3744903735066
R02,LOS,82.5,106.024733953333,112.690554071239,-6.66582011790581,32.9904183348627,34.3840061319278,-1.39358779706518,9.70245311245159,11.0024192253297,18.7314591198083,18.0765220842422,10.3656731539625,12.7253602757493,12.5748850110642,12.5055545810321
R03,LOS,32.1,97.7251207674669,103.748201255625,-6.0230804881576,15.4006690381226,16.045793269329,-0.645124231206418,10.296294562976,9.54434366354052,9.3577769483705,10.542786195072,9.41944491307884,9.55564143101234,9.44471640011598,9.93546992620903
R04,LOS,40.8,100.153554664113,107.086428163115,-6.932873499002,30.673184916293,33.1134813119742,-2.44029639568117,9.792609515488,9.64595982558871,11.6263000515648,14.1733797829953,10.3193888205336,10.1988070889846,11.1548934856692,11.3839408350072
R05,LOS,49.8,101.584293220922,107.795974558288,-6.21168133736565,21.2973449994626,23.0619945055273,-1.76464950606462,9.75471742243,9.52251614907289,11.1277506698917,12.2527315523704,9.77289120756911,9.47523166698453,11.0880987641655,10.918960874009
R06,LOS,72.3,103.863260020147,110.063480373063,-6.20022035291544,68.2214718538319,68.8051736643109,-0.583701810478999,15.3888004121042,32.5351219542885,28.8018296852184,29.103346785384,9.51853185344049,14.7526742274619,14.7445413091616,14.3134172288618
R07,LOS,20.4,92.0939721968414,99.4691712313378,-7.37519903449646,3.08864825338784,4.6537055774565,-1.56505732406865,10.3210964766712,10.3745548289892,10.4495344983999,13.2197354259143,10.2156355706459,10.3762804543456,10.3996911224728,10.098730930662
R08,LOS,33.9,97.9299835039859,104.482418868572,-6.55243536458615,11.5325862162229,13.2076209805418,-1.67503476431886,9.79351378358854,9.98659286662428,9.83719897772481,10.451795739786,9.88000373740256,9.78597938527066,9.73052034726119,9.25584896376577
R09,LOS,45.9,100.505380674643,107.030159284227,-6.52477860958348,9.55574806270426,11.8330463780152,-2.27729831531095,10.0794422301897,9.62397418757306,9.36501859641275,10.7765051513145,9.62668601959803,9.64563456740191,9.54122241178569,9.2226006467104
R10,LOS,54.3,101.527771236177,107.870498454176,-6.34272721799938,24.675828158733,26.0238574432861,-1.34802928455307,9.80331637568048,17.6559328547721,22.3116296872471,22.2899704597034,9.46383820071934,14.7033613346371,13.9392990755553,13.2904313119611
R11,LOS,36.3,101.134772757372,107.520049915976,-6.38527715860486,6.05260489006193,6.975694083673,-0.923089193611067,9.90140842872893,9.73046710082898,9.8083585646329,11.6574649519369,9.63392507499532,9.56181081124742,9.59618846361219,9.58293812638286
R12,LOS,57.9,103.004947310892,108.63942496034,-5.63447764944802,4.13360760995287,5.0768665570428,-0.943258947089934,10.4664929727274,10.1573023637943,10.8767937418176,11.778469515989,9.50959016302556,9.54867242925994,9.52717570964149,9.35669145330117
R13,LOS,65.7,101.918399819419,109.569252736271,-7.65085291685186,3.24913079233022,5.05983370636934,-1.81070291403912,11.9329822312495,10.9855033059651,11.0902053338331,12.1808409377975,11.7432814873754,11.4740147403324,11.1025767727521,10.9833741201523
R01,NLOS,46,118.32536371524,122.520485668477,-4.19512195323738,29.5798126187123,26.202759283099,3.37705333561336,10.9845050247309,14.8839181144369,21.3482616150048,21.3061190911525,46.0752371701624,45.4468589622269,45.0191695621668,44.7651331577326
R02,NLOS,73,122.196740908587,128.180231335847,-5.98349042726034,23.8223727909687,28.2597931101723,-4.43742031920359,23.7112857326738,24.96861048189,29.3683424556175,28.8783995980438,31.4159731698692,32.0025487714577,31.4856527221862,31.1355417151895
