Location,Env,Distance_m,PL_NYU_dB,PL_USC_dB,Delta_PL_dB,DS_NYU_ns,DS_USC_ns,Delta_DS_ns,ASA_NYU_10dB,ASA_NYU_15dB,ASA_NYU_20dB,ASA_USC,ASD_NYU_10dB,ASD_NYU_15dB,ASD_NYU_20dB,ASD_USC
R01,LOS,64.5,102.824486423653,109.617153464002,-6.79266704034848,55.986188603082,61.1967084425128,-5.21051983943084,26.9211070654263,24.7863432049407,31.4489675419069,30.8800146076054,9.80341535089176,11.0236658765341,12.5729347791345,12.6235652612138
R02,LOS,82.5,105.980116182794,112.662746065652,-6.68262988285736,38.5849686027049,42.7330942670512,-4.1481256643463,9.70169670027251,11.0333928719834,18.8262146352958,18.6818359078969,10.3730743133029,12.9964421038366,12.8022221581262,12.8541197732174
R03,LOS,32.1,97.722496488262,103.747598844093,-6.025102355831,16.1733328939013,16.9674947889733,-0.794161895072019,10.2966235097498,9.54544810448883,9.35962370949976,10.6592851018282,9.41949342587179,9.55728477253791,9.48381296936662,9.95359340012423
R04,LOS,40.8,100.148289415834,107.085815232736,-6.93752581690201,31.2461584982739,33.4376286822181,-2.19147018394425,9.79262392013792,9.64716537729297,11.6385909364007,14.3883169096423,10.3204348028609,10.2046790483636,11.1718171344735,11.4150505341699
R05,LOS,49.8,101.576534289474,107.794255224955,-6.21772093548097,22.1609552230638,24.1499342658904,-1.98897904282657,9.75476142804916,9.52503938288782,11.1375812021552,12.4765790657806,9.77291295405671,9.48024032531626,11.1174515385994,10.9749305900699
R06,LOS,72.3,103.852716407252,110.061014174402,-6.20829776715007,68.606103360071,69.301835618009,-0.695732257938047,15.3920664050556,32.5692880309784,28.8453482651806,29.2557609565625,9.51870582179987,14.7689229684756,14.7699155154597,14.358127731749
R07,LOS,20.4,92.0938288475831,99.4691469299996,-7.37531808241643,3.21349533139371,4.76416265081476,-1.55066731942105,10.3211201401245,10.3746236417789,10.4497777491332,13.2237406882452,10.2156688690895,10.3763775785933,10.3998973495909,10.0990307853275
R08,LOS,33.9,97.929689791706,104.482376207737,-6.55268641603094,11.648962031656,13.2514903394505,-1.60252830779446,9.79351616705195,9.98679996421031,9.83780744919218,10.4559829059742,9.88000525845243,9.78618393356664,9.7312104978847,9.2568790103603
R09,LOS,45.9,100.505031038376,107.030093734697,-6.52506269632131,9.7049778932101,11.9052157099342,-2.20023781672405,10.0795379574508,9.62424427471897,9.36546419507659,10.7836279994636,9.62669525384148,9.64598069208152,9.54214052528501,9.22443944980191
R10,LOS,54.3,101.526007982187,107.870272505474,-6.34426452328665,24.8424259394741,26.1052741723265,-1.2628482328524,9.80355299024851,17.6588842980934,22.3241275150893,22.329770321443,9.46385091360439,14.7068428716531,13.9437034811674,13.2966414646397
R11,LOS,36.3,101.132410569742,107.519517449363,-6.38710687962131,6.55312922733999,7.5042939756641,-0.95116474832411,9.90141398813415,9.73149173750791,9.84458897258135,11.7563294983308,9.63395045298148,9.56265448338415,9.59866548815729,9.59236262096275
