TX_RX_ID,Environment,TX_Power_dBm,PL_NYU_SUM_dB,PL_USC_perDelayMax_dB,Delta_PL_dB,DS_NYU_SUM_ns,DS_USC_perDelayMax_ns,Delta_DS_ns,ASA_NYU_10dB,ASA_NYU_15dB,ASA_NYU_20dB,ASA_USC,Delta_ASA_10dB,ASD_NYU_10dB,ASD_NYU_15dB,ASD_NYU_20dB,ASD_USC,Delta_ASD_10dB
T1-R1,LOS,-3.5,102.638833315253,103.485654586118,-0.846821270865618,7.48538064295561,7.67228486006863,-0.18690421711302,3.26465840306254,12.9621059784984,10.1841646152579,9.25541525307023,-5.99075685000769,3.26465840306254,12.7607244763967,10.1556345777312,8.2507607185364,-4.98610231547386
T1-R14,NLOS,-1.2,129.687787371397,131.51162269739,-1.82383532599323,13.0748194533639,12.2558533311172,0.818966122246685,54.8653011611976,52.7226278096364,53.4481392061136,51.7574434102113,3.10785775098623,3.26465840306265,2.67943003849162,1.95580370242929,8.53773646251594e-07,3.264657549289
T1-R16,NLOS,-1.2,126.928728478909,128.191627004921,-1.26289852601261,23.1298358158462,25.0431482726558,-1.91331245680956,50.2684649415347,45.4778770904904,43.5245757984234,42.7087300544018,7.55973488713291,3.26465840306243,2.67943003849148,3.57622140193211,1.81230657258134,1.45235183048108
T1-R18,NLOS,-1.2,136.940681086492,138.4299983439,-1.48931725740741,56.4670029190778,53.0581117418056,3.40889117727224,41.8024037881302,41.5079063903734,41.3776988943387,41.291516570846,0.5108872172842,9.10202701144889,8.69330633996327,8.40264867348482,8.08114424507231,1.02088276637658
T1-R23,LOS,-1.5,110.841913007573,112.673944361609,-1.83203135403605,22.036417325802,23.1605905371359,-1.12417321133398,52.0280609561812,48.3645105698135,51.0534930049703,48.8239710379927,3.2040899181885,5.40597624180332,6.37103868360528,5.84175344170499,5.19708906295707,0.208887178846257
T1-R27,LOS,-1.87,104.413353973925,106.159706303492,-1.74635232956732,5.51902978145345,6.16220690830632,-0.643177126852868,3.26465840306231,3.61086530423906,3.09646049705957,5.23423706559866,-1.96957866253634,3.26465840306243,2.67943003849162,1.9558037024291,0.607106102698686,2.65755230036374
T1-R31,LOS,-1.87,105.070438692247,106.373953520932,-1.30351482868565,16.1061201479124,16.8379492621988,-0.731829114286363,3.26465840306254,4.1567705229114,3.56278144731992,9.15912332301023,-5.8944649199477,3.26465840306243,2.67943003849162,6.86349089290636,3.94644182647183,-0.681783423409403
T1-R5,LOS,-3.5,102.141931274457,103.109698117058,-0.967766842600952,3.18722623035819,2.8885762278985,0.298650002459694,3.26465840306243,3.09877426514411,2.76835542327196,10.2592547137558,-6.99459631069335,3.26465840306243,3.89895050961126,3.10670948756299,1.96299919035562,1.30165921270681
T1-R9,NLOS,-1.5,126.451212275545,127.474345922398,-1.02313364685286,19.7819684365945,19.5096270118472,0.272341424747303,70.8461147781867,69.6366100828713,67.7665503469482,67.0224822267669,3.82363255141986,3.26465840306254,2.67943003849162,1.95580370242929,1.20741826972573e-06,3.26465719564427
T2-R1,LOS,-2,112.056004929448,113.579295596378,-1.52329066693031,31.781904579685,27.7724642410758,4.00944033860918,3.26465840306254,3.8005041614545,5.27545739188423,11.1202996080207,-7.85564120495816,3.26465840306254,2.92144169928993,5.13077259562113,7.65439256851796,-4.38973416545542
T2-R35,LOS,-2,109.294786381568,110.80927713282,-1.51449075125203,26.9031281683542,30.0166723015388,-3.11354413318458,3.26465840306243,3.99090494921905,27.1901559526143,23.8701323053244,-20.605473902262,3.26465840306243,3.24855121939456,7.40718007943035,6.53230482553487,-3.26764642247244
T2-R36,LOS,-2,105.664772433404,106.749752408481,-1.08497997507764,17.637499422,18.4802661318212,-0.842766709821259,3.26465840306243,3.77520253910493,3.33706338775479,11.8115685058983,-8.54691010283588,3.26465840306254,3.29854278336002,3.43982919144306,4.04046438558584,-0.775805982523299
T3-R1,NLOS,-1.37,130.640044539459,133.400970553419,-2.76092601396039,16.0591828573162,15.9686642950192,0.0905185622969888,10.8940609779036,12.1738454271589,11.9892640448958,11.8024579556753,-0.90839697777171,6.67650494602652,6.06191702888466,5.78368902397937,5.49231916017547,1.18418578585105
T3-R35,LOS,-1.37,116.784639468746,118.79902337373,-2.01438390498427,27.1288427550423,26.3366407643416,0.79220199070074,13.4838268644969,12.4312693453774,12.4450408788857,12.3028382198126,1.18098864468423,25.1207693591285,22.8614071964677,22.1057448494721,21.5757304240175,3.54503893511106
T3-R36,LOS,-1.37,115.138211641773,117.035228870064,-1.89701722829122,8.25372719079657,9.78606047857987,-1.5323332877833,3.26465840306231,3.76146058850471,3.22313965305631,6.53345518770491,-3.2687967846426,3.26465840306243,3.33864218384994,2.91448753663413,2.69767852572067,0.566979877341761
T3-R37,LOS,-1.37,120.618501259504,122.776352169204,-2.15785090970016,11.7136381096997,14.9716122448194,-3.25797413511966,3.96530329045914,3.77970883683199,3.38210217550891,10.225145103319,-6.25984181285984,3.26465840306254,3.27247802123076,2.7002602639664,1.86680786147889,1.39785054158365
T4-R1,NLOS,-1.72,128.210892515018,129.544493757722,-1.33360124270422,26.3803897607312,30.6537154855015,-4.2733257247703,3.26465840306254,2.67943003849148,24.3303457676103,18.8773360914732,-15.6126776884106,4.41523084482909,3.86146517858303,3.41513354284336,2.91509849991638,1.50013234491271
T4-R3,LOS,-1.72,113.333182188411,115.793996699287,-2.46081451087652,17.2069726380787,22.8080013853304,-5.60102874725174,4.99499647483847,4.66315428792222,4.09651243238276,7.92314222746827,-2.9281457526298,3.26465840306231,3.54515006761719,2.94104924242277,2.4039950064722,0.860663396590119
T4-R37,LOS,-1.72,105.107810228652,106.790072240511,-1.68226201185874,7.67272398042724,7.57332995264062,0.0993940277866114,7.13092063735369,12.8079331619664,10.9041386614199,10.0678698043272,-2.93694916697352,13.8402797091463,13.859070046002,13.4970707355412,12.8888561897991,0.951423519347191
T4-R38,NLOS,-1.72,138.235365597572,139.397291102842,-1.16192550527032,0.544094530640006,0.582030502853798,-0.0379359722137924,4.96457723633295,4.33056166036833,3.89446343628183,3.39091737737011,1.57365985896284,4.96457723633288,4.33056166036825,3.89446343628192,3.39091737737,1.57365985896288
T5-R1,NLOS,-3,115.434297724543,116.99073591299,-1.55643818844692,36.7906346944831,39.1687348009713,-2.3781001064882,57.6421892046201,53.140018994677,51.5887435631008,49.9187767517747,7.7234124528454,10.2204669960846,10.3729789965966,11.0682139410923,10.4536032342671,-0.233136238182485
T5-R10,NLOS,-3,122.631615290721,126.106583943396,-3.47496865267411,36.5398585252952,47.0224522792758,-10.4825937539805,5.17576660026892,33.2245405489892,38.8279752090202,33.1016048641903,-27.9258382639214,19.4330792850244,18.6350073153929,18.3664030693678,17.6545552365373,1.77852404848704
T5-R3,LOS,-3,107.2377795286,109.014653337588,-1.77687380898789,15.6055440097235,17.9317095454741,-2.32616553575062,10.0371569935394,8.7236202343324,7.79624408117031,10.1859223513946,-0.148765357855142,3.26465840306254,8.44265631913447,8.32552016188191,7.98434685885368,-4.71968845579114
T5-R35,LOS,-3,110.942910263235,112.296251862671,-1.35334159943648,1.3735148872952,1.33000721824838,0.0435076690468206,3.26465840306254,4.04096932374268,3.51548274447918,3.29869447458253,-0.0340360715199899,3.26465840306254,3.4753143062426,2.84399976012764,2.82116182808563,0.443496574976913
T6-R1,LOS,-1.55,104.036918645695,106.487392205591,-2.45047355989603,18.6725113570299,17.7504420135772,0.922069343452662,4.68470057599915,4.71086744580719,4.16573649766504,6.83132523394263,-2.14662465794348,4.85433860839489,4.6559075680252,4.24898076003508,4.41621581588272,0.438122792512171
T6-R39,NLOS,-1.55,113.209151739308,115.550820260227,-2.34166852091884,23.5702913026202,23.8462484146619,-0.27595711204162,61.4692082255154,62.2303610656788,61.6473883612002,62.7384110722405,-1.26920284672516,31.8362115776015,31.1962705155293,31.37761067802,31.1342742922627,0.701937285338794
T6-R40,NLOS,-1.55,120.130274557932,122.794491274584,-2.66421671665195,29.7944259811331,36.0292472044003,-6.23482122326717,34.8907546270499,32.3678580895678,30.6252649653883,29.6995875683806,5.19116705866924,3.97063103367944,26.6166928711994,24.4519218123658,22.14419439286,-18.1735633591806
