-90           -55.62912 
-89           -55.48838 
-88           -55.37114 
-87           -55.279 
-86           -55.21808 
-85           -55.19529 
-84           -55.21986 
-83           -55.30475 
-82           -55.466 
-81           -55.72296 
-80           -56.10301 
-79           -56.6392 
-78           -57.37784 
-77           -58.37739 
-76           -59.71275 
-75           -61.43764 
-74           -63.37371 
-73           -64.4116 
-72           -63.01658 
-71           -60.26592 
-70           -57.60751 
-69           -55.38877 
-68           -53.60225 
-67           -52.1993 
-66           -51.14351 
-65           -50.42116 
-64           -50.03842 
-63           -50.0248 
-62           -50.43895 
-61           -51.38509 
-60           -53.04154 
-59           -55.66294 
-58           -58.92807 
-57           -58.50023 
-56           -54.44445 
-55           -51.09311 
-54           -48.79338 
-53           -47.33307 
-52           -46.59846 
-51           -46.57743 
-50           -47.35795 
-49           -49.15804 
-48           -52.26156 
-47           -54.90942 
-46           -51.65469 
-45           -47.61325 
-44           -44.94889 
-43           -43.44382 
-42           -42.94159 
-41           -43.46143 
-40           -45.19149 
-39           -48.2447 
-38           -49.55075 
-37           -45.64515 
-36           -42.05896 
-35           -39.89642 
-34           -38.96537 
-33           -39.20785 
-32           -40.72194 
-31           -43.22886 
-30           -43.17694 
-29           -39.43839 
-28           -36.30273 
-27           -34.49193 
-26           -33.90301 
-25           -34.48277 
-24           -35.94328 
-23           -36.26825 
-22           -33.51344 
-21           -30.35574 
-20           -28.17336 
-19           -27.03452 
-18           -26.78319 
-17           -26.93423 
-16           -26.21865 
-15           -23.86922 
-14           -21.0356 
-13           -18.63875 
-12           -16.84996 
-11           -15.54167 
-10           -14.41028 
-9            -13.02561 
-8            -11.11892 
-7            -8.855769 
-6            -6.595166 
-5            -4.582089 
-4            -2.918606 
-3            -1.632016 
-2            -0.7216262 
-1            -0.1797723 
 0             0 
 1            -0.1797723 
 2            -0.7216262 
 3            -1.632016 
 4            -2.918606 
 5            -4.582089 
 6            -6.595166 
 7            -8.855769 
 8            -11.11892 
 9            -13.02561 
 10           -14.41028 
 11           -15.54167 
 12           -16.84996 
 13           -18.63875 
 14           -21.0356 
 15           -23.86922 
 16           -26.21865 
 17           -26.93423 
 18           -26.78319 
 19           -27.03452 
 20           -28.17336 
 21           -30.35574 
 22           -33.51344 
 23           -36.26825 
 24           -35.94328 
 25           -34.48277 
 26           -33.90301 
 27           -34.49193 
 28           -36.30273 
 29           -39.43839 
 30           -43.17694 
 31           -43.22886 
 32           -40.72194 
 33           -39.20785 
 34           -38.96537 
 35           -39.89642 
 36           -42.05896 
 37           -45.64515 
 38           -49.55075 
 39           -48.2447 
 40           -45.19149 
 41           -43.46143 
 42           -42.94159 
 43           -43.44382 
 44           -44.94889 
 45           -47.61325 
 46           -51.65469 
 47           -54.90942 
 48           -52.26156 
 49           -49.15804 
 50           -47.35795 
 51           -46.57743 
 52           -46.59846 
 53           -47.33307 
 54           -48.79338 
 55           -51.09311 
 56           -54.44445 
 57           -58.50023 
 58           -58.92807 
 59           -55.66294 
 60           -53.04154 
 61           -51.38509 
 62           -50.43895 
 63           -50.0248 
 64           -50.03842 
 65           -50.42116 
 66           -51.14351 
 67           -52.1993 
 68           -53.60225 
 69           -55.38877 
 70           -57.60751 
 71           -60.26592 
 72           -63.01658 
 73           -64.4116 
 74           -63.37371 
 75           -61.43764 
 76           -59.71275 
 77           -58.37739 
 78           -57.37784 
 79           -56.6392 
 80           -56.10301 
 81           -55.72296 
 82           -55.466 
 83           -55.30475 
 84           -55.21986 
 85           -55.19529 
 86           -55.21808 
 87           -55.279 
 88           -55.37114 
 89           -55.48838 
 90           -55.62912 
