Location,Env,Distance_m,PL_NYU_dB,PL_USC_dB,Delta_PL_dB,DS_NYU_ns,DS_USC_ns,Delta_DS_ns,ASA_NYU_10dB,ASA_NYU_15dB,ASA_NYU_20dB,ASA_USC,ASD_NYU_10dB,ASD_NYU_15dB,ASD_NYU_20dB,ASD_USC
R01,LOS,64.5,102.872520507286,109.632175676877,-6.75965516959099,52.3138238366391,57.8119536441524,-5.49812980751337,26.9076816738375,24.7910854512424,31.2950713521189,30.1709904967666,9.79374435505497,10.9006418703787,12.3685630136312,12.2194814087775
R02,LOS,82.5,106.053582246151,112.697799879391,-6.64421763323972,32.383537272683,33.7452808829492,-1.36174361026622,9.70155600591679,11.0098028993034,18.6148384290579,17.6970026004866,10.3624688483553,11.8571918427401,12.11531879507,12.2977602108834
R03,LOS,32.1,97.7281919215961,103.748707813672,-6.02051589207635,14.9552816236309,15.6848397607434,-0.729558137112479,10.295907981681,9.54305560485165,9.3555884378564,10.4129180713843,9.41938755453509,9.55376037923406,9.43902857180684,9.91118035070981
R04,LOS,40.8,100.160455560459,107.087491682905,-6.92703612244625,29.9992684541568,32.6606382175808,-2.66136976342397,9.79258999285853,9.64430251319777,9.55023838115362,13.9050264993173,10.3180992240675,10.1194214763041,11.1441351516904,11.337823620582
R05,LOS,49.8,101.593939779403,107.798009479587,-6.20406970018394,20.4752607762569,22.2115089472109,-1.73624817095406,9.7546711556666,9.51945755717994,11.0823232013393,11.981701380288,9.77286536978681,9.4691327122173,11.0107402629135,10.8428953280076
R06,LOS,72.3,103.875700549426,110.065133846416,-6.18943329698938,68.0562666954005,68.6427087227526,-0.586442027352106,15.4255036654575,32.4840798365627,28.7649639170843,28.9657939579341,9.51832881510578,14.7766959174659,14.7264016372156,14.2584319394287
R07,LOS,20.4,92.0941820546162,99.4692154433389,-7.37503338872266,2.93731403501591,4.45636582443697,-1.51905178942106,10.3210681585106,10.3744702471875,10.449160885594,13.2123877569236,10.2155936418757,10.3761376485961,10.3994140819398,10.0983015801329
R08,LOS,33.9,97.9303819753704,104.482479387016,-6.55209741164607,11.4038333949659,13.1456430382779,-1.741809643312,9.79350981419988,9.98632636716734,9.83639330299827,10.4452600502533,9.88000173060757,9.78569904456353,9.72951313484723,9.2543959486817
R09,LOS,45.9,100.505809456214,107.030239395867,-6.52442993965249,9.41463305758961,11.7636095127527,-2.34897645516308,10.0793221715548,9.623653373189,9.36450097057893,10.7644352647559,9.62667455677049,9.64521238785121,9.54007454576129,9.22038629496013
R10,LOS,54.3,101.530505407186,107.87089241118,-6.34038700399388,24.501843731103,25.9197511220515,-1.41790739094852,9.80296295148641,17.6298736320379,22.2914179816395,22.2217231320742,9.46383371383127,14.6982665151189,13.9328369345865,13.2815170854635
