Freq_,TX,RX,LocType,TRSep,OmniPL__USCThres,OmniPL__NYUThres,OmniPL__NYUOrig__N1_,OmniDS__USCThres,OmniDS__NYUThres,OmniDS__NYUOrig__N1_,OmniASA__USCThres,OmniASA__NYUThres,OmniASA__NYUOrig__N1_,OmniASD__USCThres,OmniASD__NYUThres,OmniASD__NYUOrig__N1_
7 GHz,TX1,RX1,LOS,40,78.7,77.91,74.61,11.89,47.45,37.96,14.77,24.96,28.93,15.4,27.93,22.52
,,RX2,LOS,100,89.16,88.31,82.84,1.21,92.24,64.28,14.16,25.2,21.06,8.1,24.81,18.97
,,RX3,LOS,193,90.51,89.45,86.89,1.06,122.91,108.77,0,12.34,10.97,4.99,38.51,57.68
,,RX4,NLOS,560,117.27,114.54,110.03,0.42,106.89,67.37,0,16.2,17.97,0,25.09,20.4
,,RX5,NLOS,880,126.93,125.16,124.74,0.4,0.84,0.86,0,4.45,10.97,0,0,10.97
,,RX6,NLOS,1000,Outage,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,,RX7,LOS,424,107.15,103.2,100.24,0.39,197.96,190.87,0,15.68,16.73,0,79.51,82.52
,TX2,RX1,LOS,58,87.02,86.11,80.73,5.99,28.86,22.71,43.22,58.71,62.16,14.72,25.45,24.16
,,RX2,NLOS,51.5,98.57,94.09,88.9,4.58,141.24,96.76,32.75,60.3,66.54,0,37.8,22.38
,,RX3,NLOS,100.88,104.28,102.88,101.22,11.09,91.39,108.52,3.48,21.88,20.69,13.16,96.1,97.74
,TX3,RX1,NLOS,71,113.05,104.77,100.93,0.51,188.56,183.9,0,38.42,40.84,0,38.62,33.45
,,RX2,NLOS,45,94.79,92.16,88.9,9.43,84.88,71.05,12.04,29.62,30.25,13.11,43.55,38.48
,,RX3,NLOS,125,107.59,105.65,100.56,116.63,140.06,113.33,33.04,59.03,55.28,26.87,37.79,31.2
,TX4,RX1,NLOS,88.7,112.41,101.86,97.68,0.39,100.5,94.22,0,32.93,19.96,0,62.72,64.51
,,RX2,LOS,120,93.15,91.37,87.25,0.44,52.8,34.63,0,15.92,18.15,0,17.16,18.21
,,RX3,NLOS,216,Outage,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,,RX4,NLOS,185,140.57,125.9,124.49,0.09,136.19,117.3,0,14.52,16.8,0,16.57,22.14
,TX5,RX1,LOS,52,85.72,84.94,81.98,0.65,49.85,44.47,0,15.05,17.35,4.91,25.93,18.53
,,RX2,NLOS,170,,105.46,101.5,0,67.63,56.64,0,28.06,26.75,0,37.1,33.79
,,RX3,NLOS,141,113.99,109.63,106.29,36.61,115.49,106.91,32.09,53.13,52.51,35.91,81.61,89.49
