Band,Dataset,LocType,n,PLE,sigma_SF_dB,PLE_CFI_width,PLE_CFI_halfwidth,DS_mean_ns,DS_CFI_width_ns,DS_CFI_halfwidth_ns,ASA_mean_d,ASA_CFI_width_d,ASA_CFI_halfwidth_d,ASD_mean_d,ASD_CFI_width_d,ASD_CFI_halfwidth_d
Sub-THz (142/145.5),NYU only,LOS,16,1.94651899472101,2.76469196767282,0.160873459397952,0.0804367296989761,16.2155865206745,9.73063009796179,4.8653150489809,6.16091721553038,8.87634596565151,4.43817298282576,5.07200906106854,4.56935691439667,2.28467845719834
Sub-THz (142/145.5),NYU only,NLOS,11,2.8819008422718,8.38895944177511,0.553554150822189,0.276777075411095,37.2073017673827,32.580578520737,16.2902892603685,43.1489049914743,36.4522255061844,18.2261127530922,8.71606003048433,10.0002609108636,5.00013045543182
Sub-THz (142/145.5),USC only,LOS,13,1.88946154254941,0.857456807159233,0.0519357672428609,0.0259678836214304,24.0498090134172,25.1888711896174,12.5944355948087,15.6529908210259,7.41211309885729,3.70605654942864,10.9668664937075,1.76149303933734,0.880746519668669
Sub-THz (142/145.5),USC only,NLOS,13,2.70597281883913,5.95446713547984,0.376548689532222,0.188274344766111,31.3483109978634,25.6691850172188,12.8345925086094,30.7051666515532,21.0200115100407,10.5100057550203,21.3978223277165,10.8604139703573,5.43020698517867
Sub-THz (142/145.5),Pooled,LOS,29,1.92111727578978,2.16806899954319,0.100090617834119,0.0500453089170594,19.5591586450734,12.9176569975291,6.45882849876453,10.9565439850647,8.22982738390496,4.11491369195248,7.97525932102877,4.1043463670201,2.05217318351005
Sub-THz (142/145.5),Pooled,NLOS,24,2.79185613274441,7.30687304753037,0.331482302527707,0.165741151263854,33.9216294106654,22.3988430252557,11.1994215126278,35.9740211510135,20.2858095230959,10.1429047615479,16.2842638318805,10.088970488725,5.04448524436251
6.75 GHz,NYU only,LOS,6,1.81032868923123,2.62653029072985,0.210225907439014,0.105112953719507,71.7103997844343,101.334097932605,50.6670489663026,25.2030329842352,26.9333362014487,13.4666681007244,36.6988195058144,39.5008012828767,19.7504006414383
6.75 GHz,NYU only,NLOS,12,2.50082075821097,7.90272257618325,0.420123931896265,0.210061965948133,152.722367971367,186.123959715477,93.0619798577384,31.6086085685801,20.4011758283477,10.2005879141738,40.0406977590808,31.4999474184619,15.7499737092309
6.75 GHz,USC only,LOS,6,1.91064491750208,1.47825373597661,0.115865916634665,0.0579329583173327,14.163968055646,28.1494764712718,14.0747382356359,10.2641516192958,12.6654740321035,6.33273701605173,5.86296591316275,1.58309870996684,0.79154935498342
6.75 GHz,USC only,NLOS,11,2.68999399583306,7.27751534408712,0.377529214854712,0.188764607427356,14.4457657061865,71.0339184687342,35.5169592343671,12.359709409476,9.09870298598194,4.54935149299097,12.168361451131,5.65141613738403,2.82570806869202
6.75 GHz,Pooled,LOS,12,1.86001654981464,2.36296099960333,0.128533732881676,0.0642668664408379,79.9531467045941,152.624440569771,76.3122202848855,18.0415594953016,17.6942119314174,8.84710596570871,20.8439584245297,29.474433246766,14.737216623383
6.75 GHz,Pooled,NLOS,23,2.59484871182276,7.89082152860142,0.291198639569685,0.145599319784843,118.671848228803,149.726374051443,74.8631870257217,22.3872215857506,14.2066629762284,7.1033314881142,26.0270736356152,20.7502244551615,10.3751122275808
