Freq_,TX,RX,LocType,TRSep,OmniPL__NYUThres,OmniPL__USCThres,OmniPL__USCOrig__U1_,OmniDS__NYUThres,OmniDS__USCThres,OmniDS__USCOrig__U1_,OmniASA__NYUThres,OmniASA__USCThres,OmniASA__USCOrig__U1_,OmniASD__NYUThres,OmniASD__USCThres,OmniASD__USCOrig__U1_
145 GHz,TX1,RX1,LOS,64.5,107.170925517867,102.87,109.63,26.1504385979062,52.31,57.81,27.79,26.91,30.17,11.39,9.79,12.22
,,RX2,LOS,82.5,110.466120324053,106.05,112.7,24.8674343082325,32.38,33.75,8.43,9.7,17.7,11.03,10.36,12.3
,,RX3,LOS,32.1,101.796903671513,97.73,103.75,5.59621906662999,14.96,15.68,10.74,10.3,10.41,8.88,9.42,9.91
,,RX4,LOS,40.8,104.488118739501,100.16,107.09,9.38262020696348,30,32.66,8.41,9.79,13.91,10.8,10.32,11.34
,,RX5,LOS,49.8,105.883425260382,101.59,107.8,8.06323299249601,20.48,22.21,8.46,9.75,11.98,8.58,9.77,10.84
,,RX6,LOS,72.3,108.333509530666,103.88,110.07,16.4582969708308,68.06,68.64,15.86,15.43,28.97,8.73,9.52,14.26
,,RX7,LOS,20.4,96.3211791006875,92.09,99.47,1.59186767788172,2.94,4.46,10.78,10.32,13.21,11.23,10.22,10.1
,,RX8,LOS,33.9,102.235226324362,97.93,104.48,2.33610360492651,11.4,13.15,8.54,9.79,10.45,8.63,9.88,9.25
,,RX9,LOS,45.9,104.592213966274,100.51,107.03,3.25179789015863,9.41,11.76,10.79,10.08,10.76,8.82,9.63,9.22
,,RX10,LOS,54.3,105.986991692037,101.53,107.87,3.46696815195965,24.5,25.92,10.63,9.8,22.22,8.88,9.46,13.28
,,RX11,LOS,36.3,105.444632629476,101.14,107.52,3.28706184592083,5.55,6.43,8.4,9.9,11.51,8.78,9.63,9.57
,,RX12,LOS,57.9,107.178867981897,103.01,108.64,7.64866723115526,3.37,4.03,10.75,10.47,11.56,9.06,9.51,9.33
,,RX13,LOS,65.7,105.939262713247,101.92,109.57,3.54367647404693,2.71,4.33,12.63,11.93,12.13,12.8,11.74,10.98
,,RX1,NLOS,46,122.362450452767,118.49,122.55,73.6618920336928,27.84,24.52,11.06,10.96,19.75,47.44,47.09,45.19
,,RX2,NLOS,73,125.226951685719,122.54,128.25,122.008443458063,22.23,23.28,24.92,23.64,26.77,31.84,31.65,31.25
,,RX3,NLOS,83,124.178891465911,124.06,128.96,210.574502905128,19.39,20.08,29.24,28.66,29.95,28.78,28.59,26.91
,,RX4,NLOS,40.66,119.822509855849,116.09,122.8,86.5809815858604,44.77,62.74,45.05,44.71,50.01,11.22,11.45,15.59
,,RX5,NLOS,53.35,121.096318656019,117.17,121.63,96.3597079995553,64.02,66,79.67,79.93,81.14,24.09,23.47,22.4
,,RX6,NLOS,62.56,120.961076701262,121.51,126.49,234.53872653511,42.35,50.92,53.35,53.13,54.5,19.78,19.33,21.02
,,RX7,NLOS,35,109.582431737565,104.82,109.44,18.0933935574717,5.66,6.1,8.89,9.2,19.72,11.03,9.84,10.68
,,RX8,NLOS,45.47,105.323480368975,101.23,106.16,11.315437181669,2.47,2.9,11.07,9.91,11.18,10.75,10.28,9.68
,,RX9,NLOS,58.5,119.194970825327,115.19,121.69,41.8525015102379,14.29,21.68,18.08,17.57,21.34,26.43,26.88,26.28
,,RX10,NLOS,65.7,124.195835444374,120.19,125.13,71.9163387735061,24.36,30.59,13.49,11.65,22.22,13.15,12.55,14.01
,,RX11,NLOS,18.3,116.978303196931,112.71,118.91,32.6670716209711,10.98,13.35,20.71,19.73,26.06,18.89,18.16,17.04
,,RX12,NLOS,20.8,109.232691031674,105.17,109.37,13.260248119122,3.37,3.75,10.95,9.55,11.04,10.91,9.45,9.22
,,RX13,NLOS,30,123.688464601129,119.81,124.15,102.717861304203,36.62,39.84,15.17,14.43,28.3,28.21,27.63,28.16
