-90           -32.86835 
-89           -32.71988 
-88           -32.57831 
-87           -32.44561 
-86           -32.32506 
-85           -32.22136 
-84           -32.14061 
-83           -32.09052 
-82           -32.08055 
-81           -32.12217 
-80           -32.22945 
-79           -32.41986 
-78           -32.71542 
-77           -33.1449 
-76           -33.74747 
-75           -34.57923 
-74           -35.72533 
-73           -37.32674 
-72           -39.64112 
-71           -43.17766 
-70           -48.26341 
-69           -46.81821 
-68           -41.17422 
-67           -37.24586 
-66           -34.45186 
-65           -32.36553 
-64           -30.78088 
-63           -29.59409 
-62           -28.7546 
-61           -28.24418 
-60           -28.06981 
-59           -28.26449 
-58           -28.89673 
-57           -30.09581 
-56           -32.11997 
-55           -35.56178 
-54           -41.90139 
-53           -42.34917 
-52           -35.12627 
-51           -30.96998 
-50           -28.37901 
-49           -26.74401 
-48           -25.8344 
-47           -25.57786 
-46           -26.00521 
-45           -27.26698 
-44           -29.7487 
-43           -34.49451 
-42           -41.04982 
-41           -33.54134 
-40           -28.39325 
-39           -25.47667 
-38           -23.83968 
-37           -23.1683 
-36           -23.40837 
-35           -24.70675 
-34           -27.54723 
-33           -33.18786 
-32           -34.75491 
-31           -27.66046 
-30           -23.64359 
-29           -21.44152 
-28           -20.46961 
-27           -20.58625 
-26           -21.92717 
-25           -25.00713 
-24           -30.28629 
-23           -27.87376 
-22           -22.28446 
-21           -19.01902 
-20           -17.29744 
-19           -16.77377 
-18           -17.42298 
-17           -19.45311 
-16           -22.7501 
-15           -22.34339 
-14           -17.73444 
-13           -14.2586 
-12           -12.12349 
-11           -11.04587 
-10           -10.87935 
-9            -11.49356 
-8            -12.35403 
-7            -11.85551 
-6            -9.33525 
-5            -6.41392 
-4            -3.991075 
-3            -2.187099 
-2            -0.953422 
-1            -0.2355989 
 0             0 
 1            -0.2355989 
 2            -0.953422 
 3            -2.187099 
 4            -3.991075 
 5            -6.41392 
 6            -9.33525 
 7            -11.85551 
 8            -12.35403 
 9            -11.49356 
 10           -10.87935 
 11           -11.04587 
 12           -12.12349 
 13           -14.2586 
 14           -17.73444 
 15           -22.34339 
 16           -22.7501 
 17           -19.45311 
 18           -17.42298 
 19           -16.77377 
 20           -17.29744 
 21           -19.01902 
 22           -22.28446 
 23           -27.87376 
 24           -30.28629 
 25           -25.00713 
 26           -21.92717 
 27           -20.58625 
 28           -20.46961 
 29           -21.44152 
 30           -23.64359 
 31           -27.66046 
 32           -34.75491 
 33           -33.18786 
 34           -27.54723 
 35           -24.70675 
 36           -23.40837 
 37           -23.1683 
 38           -23.83968 
 39           -25.47667 
 40           -28.39325 
 41           -33.54134 
 42           -41.04982 
 43           -34.49451 
 44           -29.7487 
 45           -27.26698 
 46           -26.00521 
 47           -25.57786 
 48           -25.8344 
 49           -26.74401 
 50           -28.37901 
 51           -30.96998 
 52           -35.12627 
 53           -42.34917 
 54           -41.90139 
 55           -35.56178 
 56           -32.11997 
 57           -30.09581 
 58           -28.89673 
 59           -28.26449 
 60           -28.06981 
 61           -28.24418 
 62           -28.7546 
 63           -29.59409 
 64           -30.78088 
 65           -32.36553 
 66           -34.45186 
 67           -37.24586 
 68           -41.17422 
 69           -46.81821 
 70           -48.26341 
 71           -43.17766 
 72           -39.64112 
 73           -37.32674 
 74           -35.72533 
 75           -34.57923 
 76           -33.74747 
 77           -33.1449 
 78           -32.71542 
 79           -32.41986 
 80           -32.22945 
 81           -32.12217 
 82           -32.08055 
 83           -32.09052 
 84           -32.14061 
 85           -32.22136 
 86           -32.32506 
 87           -32.44561 
 88           -32.57831 
 89           -32.71988 
 90           -32.86835 
